source_sequence,source_module,source_level,source_type,source_identifier,source_name,source_datatype,source_multiplicity,source_definition,source_semantic_path,source_class_term,target_sequence,target_module,target_level,target_type,target_identifier,target_name,target_datatype,target_multiplicity,target_definition,target_semantic_path,target_class_term,transformation,mapping_status,confidence,reason_codes,review_note
161,en16931,2,C,,Additional supporting documents,,0..*,"Project-defined Additional supporting documents in the Additional supporting document context, represented as structured information.",$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument],Additional supporting document,155,btx,3,C,,Referenced Document,,0..*,Reference for the document; number assigned to track the document,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""attachedDocument""]",Referenced Document,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v13 approved disjoint BG-24 structure; same-occurrence predicate selects Document_Type=attachedDocument.
162,en16931,3,A,,Supporting document reference,Identifier,1..1,"Project-defined Supporting document reference in the Additional supporting document context, represented as Identifier.",$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][not(attachedDocument)].supportingDocumentReference,Additional supporting document,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""supportingDocument""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v13 approved BT-122 supportingDocument variant; disjoint same-occurrence predicate; reversible identity.
162,en16931,3,A,,Supporting document reference,Identifier,1..1,"Project-defined Supporting document reference in the Additional supporting document context, represented as Identifier.",$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)].supportingDocumentReference,Additional supporting document,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""externalDocument""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v13 approved BT-122 externalDocument variant; disjoint same-occurrence predicate; reversible identity.
162,en16931,3,A,,Supporting document reference,Identifier,1..1,"Project-defined Supporting document reference in the Additional supporting document context, represented as Identifier.",$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].supportingDocumentReference,Additional supporting document,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""attachedDocument""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v13 approved BT-122 attachedDocument variant; disjoint same-occurrence predicate; reversible identity.
163,en16931,3,A,,Supporting document description,Text,0..1,"Project-defined Supporting document description in the Additional supporting document context, represented as Text.",$.invoice.additionalSupportingDocuments.supportingDocumentDescription,Additional supporting document,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
164,en16931,3,A,,External document location,Identifier,0..1,"Project-defined External document location in the Additional supporting document context, represented as Identifier.",$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)].externalDocumentLocation,Additional supporting document,168,btx,5,A,,External URI,anyURI,0..1,External URI at which the referenced document or attachment can be obtained.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""externalDocument""].btx_DocumentAttachment.btx_ExternalURI",Document Attachment,identity,EXACT,HIGH,,v13 approved External document location externalDocument variant; same-occurrence predicate; reversible identity.
165,en16931,3,A,,Attached document,Binary object,0..1,"Project-defined Attached document in the Additional supporting document context, represented as Binary object.",$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocument,Additional supporting document,165,btx,5,A,,Binary Content,Base64Binary,0..1,Binary attachment content encoded as base64.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""attachedDocument""].btx_DocumentAttachment.btx_BinaryContent",Document Attachment,identity,EXACT,HIGH,,v13 approved Attached document attachedDocument variant; same-occurrence predicate; reversible identity.
166,en16931,3,A,,Attached document MIME code,Code,1..1,"Project-defined Attached document MIME code in the Additional supporting document context, represented as Code.",$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocumentMimeCode,Additional supporting document,166,btx,5,A,,MIME Type,Token,0..1,MIME media type of the attached content.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""attachedDocument""].btx_DocumentAttachment.btx_MIMEType",Document Attachment,identity,EXACT,HIGH,,v13 approved Attached document MIME code attachedDocument variant; same-occurrence predicate; reversible identity.
167,en16931,3,A,,Attached document filename,Text,1..1,"Project-defined Attached document filename in the Additional supporting document context, represented as Text.",$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument].attachedDocumentFilename,Additional supporting document,167,btx,5,A,,File Name,String,0..1,File name associated with the attached content.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""attachedDocument""].btx_DocumentAttachment.btx_FileName",Document Attachment,identity,EXACT,HIGH,,v13 approved Attached document filename attachedDocument variant; same-occurrence predicate; reversible identity.
168,en16931,2,C,,Invoice line,,1..*,"Project-defined Invoice line in the Invoice line context, represented as structured information.",$.invoice.invoiceLine,Invoice line,258,btx,3,C,,Transaction_ Detail,,0..*,Parent for document line,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail,Transaction_ Detail,identity,STRUCTURAL,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
169,en16931,3,A,,Invoice line identifier,Identifier,1..1,"Project-defined Invoice line identifier in the Invoice line context, represented as Identifier.",$.invoice.invoiceLine.invoiceLineIdentifier,Invoice line,259,btx,4,A,PK,Line Number,String,0..1,Identifier for a particular entry detail,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_LineNumber,Transaction_ Detail,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_OCCURRENCE_COMPATIBLE,v14: definition/context and generated-target reverse were reviewed; source-oriented roundtrip is lossless.
170,en16931,3,A,,Invoice line note,Text,0..1,"Project-defined Invoice line note in the Invoice line context, represented as Text.",$.invoice.invoiceLine.invoiceLineNote,Invoice line,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
171,en16931,3,A,,Invoice line object identifier,Identifier,0..1,"Project-defined Invoice line object identifier in the Invoice line context, represented as Identifier.",$.invoice.invoiceLine.invoiceLineObjectIdentifier,Invoice line,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
172,en16931,3,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Invoice line context, represented as Identifier.",$.invoice.invoiceLine.invoiceLineObjectIdentifierSchemeIdentifier,Invoice line,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
173,en16931,3,A,,Invoiced quantity,Quantity,0..1,"Project-defined Invoiced quantity in the Invoice line context, represented as Quantity.",$.invoice.invoiceLine.invoicedQuantity,Invoice line,375,bus,5,A,,Measurable Quantity,Decimal,0..1,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableQuantity,Detail_ Measurable,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: definition/context and generated-target reverse were reviewed; source-oriented roundtrip is lossless.
174,en16931,3,A,,Invoiced quantity unit code,Code,0..1,"Project-defined Invoiced quantity unit code in the Invoice line context, represented as Code.",$.invoice.invoiceLine.invoicedQuantityUnitCode,Invoice line,377,bus,5,A,,Measurable Unit of Measure,String,0..1,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableUnitofMeasure,Detail_ Measurable,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: definition/context and generated-target reverse were reviewed; source-oriented roundtrip is lossless.
175,en16931,3,A,,Invoice line net amount,Amount,1..1,"Project-defined Invoice line net amount in the Invoice line context, represented as Amount.",$.invoice.invoiceLine.invoiceLineNetAmount,Invoice line,450,btx,5,A,,Amount,Monetary,1,Numeric value of the monetary amount expressed in the specified currency.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAmountStructure[btx_DetailAmountType=""lineNetAmount""].btx_Amount",Detail_ Amount Structure,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_OCCURRENCE_COMPATIBLE,v14: definition/context and generated-target reverse were reviewed; source-oriented roundtrip is lossless.
176,en16931,3,A,,Referenced purchase order line reference,Identifier,0..1,"Project-defined Referenced purchase order line reference in the Invoice line context, represented as Identifier.",$.invoice.invoiceLine.referencedPurchaseOrderLineReference,Invoice line,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
177,en16931,3,A,,Invoice line buyer accounting reference,Text,0..1,"Project-defined Invoice line buyer accounting reference in the Invoice line context, represented as Text.",$.invoice.invoiceLine.invoiceLineBuyerAccountingReference,Invoice line,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
178,en16931,3,C,,Invoice line period,,0..1,"Project-defined Invoice line period in the Invoice line period context, represented as structured information.",$.invoice.invoiceLine.invoiceLinePeriod,Invoice line period,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
179,en16931,4,A,,Invoice line period start date,Date,0..1,"Project-defined Invoice line period start date in the Invoice line period context, represented as Date.",$.invoice.invoiceLine.invoiceLinePeriod.invoiceLinePeriodStartDate,Invoice line period,379,bus,5,A,,Measurable Start Time,Date Time,0..1,Start time of the duration being measured,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableStartTime,Detail_ Measurable,date_to_midnight,TRANSFORM,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: explicit reversible date_to_midnight transform; generated-target reverse and occurrence identity reviewed.
180,en16931,4,A,,Invoice line period end date,Date,0..1,"Project-defined Invoice line period end date in the Invoice line period context, represented as Date.",$.invoice.invoiceLine.invoiceLinePeriod.invoiceLinePeriodEndDate,Invoice line period,380,bus,5,A,,Measurable End Time,Date Time,0..1,End time of the duration being measured,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableEndTime,Detail_ Measurable,date_to_midnight,TRANSFORM,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: explicit reversible date_to_midnight transform; generated-target reverse and occurrence identity reviewed.
181,en16931,3,C,,Invoice line allowances,,0..*,"Project-defined Invoice line allowances in the Invoice line allowance context, represented as structured information.",$.invoice.invoiceLine.invoiceLineAllowances,Invoice line allowance,455,btx,4,C,,Detail_ Adjustment,,0..*,Line-level allowance or charge adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""allowance""]",Adjustment,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
182,en16931,4,A,,Invoice line allowance amount,Amount,1..1,"Project-defined Invoice line allowance amount in the Invoice line allowance context, represented as Amount.",$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceAmount,Invoice line allowance,457,btx,5,A,,Amount,Monetary,1,Monetary amount of the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""allowance""].btx_Amount",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
183,en16931,4,A,,Invoice line allowance base amount,Amount,0..1,"Project-defined Invoice line allowance base amount in the Invoice line allowance context, represented as Amount.",$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceBaseAmount,Invoice line allowance,458,btx,5,A,,Base Amount,Monetary,0..1,Monetary base amount used to calculate the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""allowance""].btx_BaseAmount",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
184,en16931,4,A,,Invoice line allowance percentage,Percentage,0..1,"Project-defined Invoice line allowance percentage in the Invoice line allowance context, represented as Percentage.",$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowancePercentage,Invoice line allowance,459,btx,5,A,,Percentage,Pure,0..1,"Percentage rate used to calculate the adjustment, represented as a pure numeric value.","$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""allowance""].btx_Percentage",Adjustment,percentage_representation_review,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_TRANSFORM_REQUIRED,"v10 current-taxonomy re-review: resolved: current selector field/value is defined. Not executable because R_MULTIPLICITY_REVIEW, R_TRANSFORM_REQUIRED. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. No mapping is inferred."
185,en16931,4,A,,Invoice line allowance reason,Text,0..1,"Project-defined Invoice line allowance reason in the Invoice line allowance context, represented as Text.",$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceReason,Invoice line allowance,460,btx,5,A,,Reason,String,0..1,Human-readable reason for the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""allowance""].btx_Reason",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
186,en16931,4,A,,Invoice line allowance reason code,Code,0..1,"Project-defined Invoice line allowance reason code in the Invoice line allowance context, represented as Code.",$.invoice.invoiceLine.invoiceLineAllowances.invoiceLineAllowanceReasonCode,Invoice line allowance,461,btx,5,A,,Reason Code,Token,0..1,Code identifying the reason for the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""allowance""].btx_ReasonCode",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=allowance:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
187,en16931,3,C,,Invoice line charges,,0..*,"Project-defined Invoice line charges in the Invoice line charge context, represented as structured information.",$.invoice.invoiceLine.invoiceLineCharges,Invoice line charge,455,btx,4,C,,Detail_ Adjustment,,0..*,Line-level allowance or charge adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""charge""]",Adjustment,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
188,en16931,4,A,,Invoice line charge amount,Amount,1..1,"Project-defined Invoice line charge amount in the Invoice line charge context, represented as Amount.",$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeAmount,Invoice line charge,457,btx,5,A,,Amount,Monetary,1,Monetary amount of the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""charge""].btx_Amount",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
189,en16931,4,A,,Invoice line charge base amount,Amount,0..1,"Project-defined Invoice line charge base amount in the Invoice line charge context, represented as Amount.",$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeBaseAmount,Invoice line charge,458,btx,5,A,,Base Amount,Monetary,0..1,Monetary base amount used to calculate the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""charge""].btx_BaseAmount",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
190,en16931,4,A,,Invoice line charge percentage,Percentage,0..1,"Project-defined Invoice line charge percentage in the Invoice line charge context, represented as Percentage.",$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargePercentage,Invoice line charge,459,btx,5,A,,Percentage,Pure,0..1,"Percentage rate used to calculate the adjustment, represented as a pure numeric value.","$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""charge""].btx_Percentage",Adjustment,percentage_representation_review,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_TRANSFORM_REQUIRED,"v10 current-taxonomy re-review: resolved: current selector field/value is defined. Not executable because R_MULTIPLICITY_REVIEW, R_TRANSFORM_REQUIRED. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. No mapping is inferred."
191,en16931,4,A,,Invoice line charge reason,Text,0..1,"Project-defined Invoice line charge reason in the Invoice line charge context, represented as Text.",$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeReason,Invoice line charge,460,btx,5,A,,Reason,String,0..1,Human-readable reason for the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""charge""].btx_Reason",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
192,en16931,4,A,,Invoice line charge reason code,Code,0..1,"Project-defined Invoice line charge reason code in the Invoice line charge context, represented as Code.",$.invoice.invoiceLine.invoiceLineCharges.invoiceLineChargeReasonCode,Invoice line charge,461,btx,5,A,,Reason Code,Token,0..1,Code identifying the reason for the adjustment.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailAdjustment[btx_AdjustmentType=""charge""].btx_ReasonCode",Adjustment,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_AdjustmentType=charge:Adjustment_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
193,en16931,3,C,,Price details,,1..1,"Project-defined Price details in the Price detail context, represented as structured information.",$.invoice.invoiceLine.priceDetails,Price detail,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
194,en16931,4,A,,Item net price,Amount,1..1,"Project-defined Item net price in the Price detail context, represented as Amount.",$.invoice.invoiceLine.priceDetails.itemNetPrice,Price detail,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v15 final review: existing target rejected; separate semantic-model approval is required.
195,en16931,4,A,,Item price discount,Amount,0..1,"Project-defined Item price discount in the Price detail context, represented as Amount.",$.invoice.invoiceLine.priceDetails.itemPriceDiscount,Price detail,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
196,en16931,4,A,,Item gross price,Amount,0..1,"Project-defined Item gross price in the Price detail context, represented as Amount.",$.invoice.invoiceLine.priceDetails.itemGrossPrice,Price detail,378,bus,5,A,,Measurable Per Unit Cost/Price,Monetary,0..1,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurablePerUnitCostPrice,Detail_ Measurable,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: definition/context and generated-target reverse were reviewed; source-oriented roundtrip is lossless.
197,en16931,4,A,,Item price base quantity,Quantity,0..1,"Project-defined Item price base quantity in the Price detail context, represented as Quantity.",$.invoice.invoiceLine.priceDetails.itemPriceBaseQuantity,Price detail,375,bus,5,A,,Measurable Quantity,Decimal,0..1,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableQuantity,Detail_ Measurable,,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH,v10 current-taxonomy re-review: resolved: HMD-derived repeatable-ancestor propagation is accepted. Not executable because R_MULTIPLICITY_REVIEW. Current selector evidence: no equality selector. No mapping is inferred.
198,en16931,4,A,,Item price base quantity unit code,Code,0..1,"Project-defined Item price base quantity unit code in the Price detail context, represented as Code.",$.invoice.invoiceLine.priceDetails.itemPriceBaseQuantityUnitCode,Price detail,377,bus,5,A,,Measurable Unit of Measure,String,0..1,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurable.bus_MeasurableUnitofMeasure,Detail_ Measurable,,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH,v10 current-taxonomy re-review: resolved: HMD-derived repeatable-ancestor propagation is accepted. Not executable because R_MULTIPLICITY_REVIEW. Current selector evidence: no equality selector. No mapping is inferred.
199,en16931,3,C,,Line VAT information,,1..1,"Project-defined Line VAT information in the Line VAT information context, represented as structured information.",$.invoice.invoiceLine.lineVatInformation,Line VAT information,415,btx,4,C,,Detail_ Tax,,0..*,Class for holding tax related information,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailTax[btx_TaxType=""VAT""]",Detail_ Tax,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
200,en16931,4,A,,Invoiced item VAT category code,Code,1..1,"Project-defined Invoiced item VAT category code in the Line VAT information context, represented as Code.",$.invoice.invoiceLine.lineVatInformation.invoicedItemVatCategoryCode,Line VAT information,422,btx,5,A,,Tax Category,String,0..1,A class or category of taxes,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailTax[btx_TaxType=""VAT""].btx_TaxCategory",Detail_ Tax,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_TaxType=VAT:Tax_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
201,en16931,4,A,,Invoiced item VAT rate,Decimal,0..1,"Project-defined Invoiced item VAT rate in the Line VAT information context, represented as Decimal.",$.invoice.invoiceLine.lineVatInformation.invoicedItemVatRate,Line VAT information,421,btx,5,A,,Tax Percentage Rate,Pure,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailTax[btx_TaxType=""VAT""].btx_TaxPercentageRate",Detail_ Tax,percentage_to_pure,TRANSFORM,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_OCCURRENCE_COMPATIBLE,v14: target definition explicitly establishes ratio scale; Decimal /100 forward and *100 reverse accepted task-locally.
202,en16931,3,C,,Item information,,1..1,"Project-defined Item information in the Item information context, represented as structured information.",$.invoice.invoiceLine.itemInformation,Item information,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
